method;sudoku;visited;time;solve_calls;infeasible_count;feasible_values_calls
astar_rev;--1--------7----------4--987-----3-54-295----8----2-46-7-8-1--2---5--4--3-84-----;28;393,31675499999983;10828;4;1839
astar_rev;84-1--------387----9-----8-------45--1---6--77-5-3-9--1---95------4----1-6----7-5;26;456,4926430000005;10356;11;1725
astar_rev;79----------279----8-6--4---14368-52-7--------5-4---8-----41-7-----8---6--3------;27;174,0021229999993;11190;7;1782
astar_rev;-5982-----------8----5---39----64------1-8--7-9-----6--2------5-81-9-6-24---31---;26;182,40262399999938;10648;1;1725
astar_rev;----674--2------7---51------4--13--21--2-5---5-7---------7-12--3--6--9----8-4-6--;26;330,55177000000003;10462;4;1725
