method;sudoku;visited;time;solve_calls;infeasible_count;feasible_values_calls
astar;--2-6-1--3--9---2-------5-3------3--5--2916----7--5-8----8--7-19-47------8-----5-;57;13,337152999999944;2999;0;0
astar;---64--3-----8-52---1----7---936--8-2--4--1--8-652-----9-7------2---5---3-------7;57;13,466961999999967;2999;0;0
astar;38-6---5--49----7---------1--6--71---3------8-------9-8--26--3--74--1--2-6---48--;103;22,29770899999994;4226;2;0
astar;2--3--94-9----4----57-----8-2--6--7----47-8-5-8----29-----2-------7---3-8---1-4--;57;13,28451700000005;3000;1;0
astar;--7---4-2-2-69------32--71--92-846--------8--386-----1-------5---93---------15---;57;13,529937000000018;2999;0;0
astar;-------7----65----1-6-948-------8-54--4---9--6957-----3---8----------2--52-46---8;57;13,506857999999966;3000;1;0
astar;TIMEOUT;-;300;20413;0;0
astar;TIMEOUT;-;300;20823;0;0
astar;8-----5-9--2--------5----727-9--48-64----69------2-----5-81-----67---1----8---73-;57;13,219512000000122;2999;0;0
astar;-----9-----43----8-1--67-4--9---3--127---6-9-1---2-7-3-------8----5----4---89--3-;57;13,194258999999875;3003;4;0
astar;3-24----9----9--6----7-25----4--7---6--15--7--1--2-9--96---3-4--7------6--------2;57;13,281464000000142;3000;1;0
astar;63---8-57---2-4--112--------49-2-3-------------795--2---1----9----7---8----56---4;57;13,521954000000278;3000;1;0
astar;--2-1-4---9-----6-5-3-6-8---6--------3-2--54---5----162-87--------6---3----5-8-9-;57;13,25532000000021;3004;5;0
astar;----5298----3--1----1-8---43-6-1-8--78--3-5------2---6--46----5-3--------5----4--;57;13,294437000000016;2999;0;0
astar;4---------7-84-9----653-1-81-----8------9-----9----7-46-83-------9--15---3-76----;57;13,441050999999788;3000;1;0
astar;-5---------8-4---5----52-8--7-4--8----9--731-1-4--8-----6----7-5-1-3-6--34-------;57;13,346992999999657;3000;1;0
astar;-----3-42--8-5-----2--9---31------96--68---7------52---1-------4--27-95--7-1---3-;57;13,496543000000202;2999;0;0
astar;---96-4-5---2-8---4------2-7-2-39-----95---4---------151---2---9-------6-3785----;103;21,96125099999972;4224;0;0
astar;TIMEOUT;-;300;20123;0;0
astar;5--8------4-5---------468--7------5-85-1-----1-47-5-39--------3491----------6--94;258;64,66229499999963;8372;1;0
